,
generic_linked_list,
control_flow,
compatibility_with_javascript,
array_and_object_literals,
cross_site_scripting,
groovybeans_properties,
b,
hello_world_program,
cy,
development,
imperative_and_structured,
sealed_classes,
expressive_type_system,
notable_applications,
primitive_types,
recent_history,
other_compilers_and_targets,
further_reading,
memory_management,
comparison_of_cmdlets_with_similar_commands,
categories_of_data_types,
functional_tendencies,
platforms,
haskell__to_,
function_syntax,
implementations,
influences_from_other_languages,
extended_type_system,
javascript,
related_languages,
grammar,
hardware_vulnerabilities,
indentation,
generics,
new_b_and_first_c_release,
long_term_support,
data_types,
classes_and_object_oriented_programming,
origins,
version_names,
development_and_other_implementations,
c_core_guidelines,
kotlin_as_a_scripting_language,
footnotes,
interface_system,
concurrency_goroutines_and_channels,
hosting,
web_app,
basic_example,
webassembly,
libraries,
union_types,
industry,
language_development,
closure_support,
terminology,
performance,
structure_of_a_function,
api_documentation_generators,
data_directives,
early_concept,
interoperability_between_c_and_assembly,
examples,
documentation,
compatibility,
desired_state_configuration,
expressions,
deploying_to_the_web,
cryptographic_security,
powershell_,
version_history,
ownership,
distinguishing_features,
runtime_system,
metatables,
others,
php__and_,
assembly_language_syntax,
reaching_maturity,
early_years_,
type_inference,
relations_to_other_languages,
methods_and_functions,
example,
matlab_and_other_languages,
criticism,
filename_extensions,
future_standards,
packages,
function_handles,
variables,
nested_functions,
notes,
misplaced_trust_in_developers,
high_level_assemblers,
scripting,
tools,
licensing,
early_releases,
json,
adoption_by_microsoft,
testing,
end_user_applications,
lifetimes,
reference_implementation,
development_and_community,
optionals_and_chaining,
design,
tail_recursion,
deploying_apps,
misplaced_trust_in_the_client,
with_c,
mozilla_layoffs_and_rust_foundation_present,
debugging,
used_for_computationally_intensive_libraries,
etymology,
object_composition_and_inheritance,
basic_syntax,
type_enrichment,
c_api,
variadic_functions,
partial_functions,
adoption,
the_php_foundation,
kr_c,
type_changes_and_additions,
versioning_system,
development_tools,
relations_to_us_sanctions,
popularity,
syntax_and_semantics,
features_with_reference_to_java,
object_oriented_programming,
name,
languages_influenced_by_python,
interfaces,
cargo,
rustfmt,
java_jvm_and_bytecode,
extensions,
standard_library,
common_type_system,
lazy_non_strict_evaluation,
variations_across_compilers,
syntactic_flexibility,
kermit,
opcode_mnemonics_and_extended_mnemonics,
immutability,
protocol_oriented_programming,
syntax_and_features,
promises_and_asyncawait,
commercial_support,
closures,
language_integrated_query_linq,
dot_and_parentheses,
while_loops,
basic_elements,
methods,
binaries,
assembly_language,
current_usage,
community,
creation_at_netscape,
integration_with_build_automation_tools,
package_system,
reserved_words,
ruby_,
naming_dispute,
javafx_application,
goals,
lexical_closure,
document,
other_implementations,
background,
philosophy,
other_languages_written_in_c,
javascript_engine,
language_tools,
null_safety,
anonymous_functions,
dialects,
matzs_ruby_interpreter,
web,
declaration_files,
servlet,
games,
platforms_and_license,
declarative_macros,
modules,
applications,
once_used_for_web_development,
limitations,
comparison_with_other_jvm_languages,
assembler,
language,
statements_and_control_flow,
commercial_development,
primary_constructor_vs_secondary_constructors,
ahead_of_time_module,
c_as_an_intermediate_language,
typical_applications,
arraypointer_interchangeability,
chrome_dev_editor,
callable_objects,
number_of_passes,
json_and_xml_processing,
controversy,
character_set,
paradigm
